pid,fum,frcv,fry,forc
692691,TT-0500,GS-0100,0,CP-0100
692769,MG-0650,DR-1100,0,DH-1850
692938,RT-0150,RT-0150,0,
692996,TB-2300,TB-2300,0,DS-1760
693051,MR-2500,MR-2500,0,
693137,DF-1875,JJ-1650,0,JJ-1650
693153,TC-0050,RA-0650,0,CG-1400
693240,CP-0800,CP-0800,0,
693242,MS-0150,,0,KA-1000
693355,AB-3500,CR-1150,9,KD-0100
693469,DJ-0850,DJ-0850,0,BB-2530
693486,AD-0680,AM-2300,0,LT-0400
693489,RM-5050,BB-2530,0,AC-1350
693579,DR-2250,JW-1100,0,BC-3100
693580,BH-1900,XS-0100,0,RM-4200
693624,BB-2425,BB-2425,0,WM-0550
693661,BB-2425,WM-0550,5,JW-1100
693674,JB-1350,JB-1350,0,
693825,HD-0300,HD-0300,0,
693884,KM-2560,CB-0200,0,
693904,JR-1150,,0,AH-3350
693925,CM-1500,JL-1250,0,TM-2850
693989,DM-1600,,0,WB-0700
694036,TO-0175,,0,
694129,DM-4300,GS-0800,0,JB-5700
694145,EM-0200,WT-0200,83,CB-0800
694359,DC-0725,,0,RP-0200
694496,DC-0725,JF-0950,0,FZ-0100
694519,ES-0200,SW-1720,0,SW-1720
694542,BO-0650,DS-3350,0,SW-1720
694592,CA-0750,JA-0280,0,MT-0350
694612,DI-0075,,0,SB-0225
694651,JH-3450,MD-0030,0,
694664,PR-0300,DW-4300,0,
694837,TM-0650,RH-1250,0,NB-0400
694977,BG-0100,DH-1700,0,
695005,BG-0100,BG-0100,0,
695051,DF-2200,LD-0150,0,AV-0300
695129,BR-0050,JW-1500,14,TW-2250
695151,BB-2050,LD-0150,0,LD-0150
695229,MS-1300,,0,
695292,AR-1300,CM-3400,55,EG-0900
695326,CP-0750,MH-4000,0,MC-3000
695335,TB-2650,AP-0700,0,
695381,BH-1900,DP-1450,0,AB-0100
695474,BH-1900,BH-1900,0,AB-0100
695543,AM-1150,AM-1150,0,
695544,AM-1150,CB-2000,0,CH-3100
695552,MW-1250,GI-1300,0,VB-0350
695585,AM-1150,CT-0900,11,JJ-4250
695615,GB-0350,RS-0962,0,RS-0962
695628,JT-3000,,0,SW-1550
695661,JH-4025,RC-1550,-3,RS-0962
695691,CG-2700,JR-3700,0,
695774,RW-3850,RW-3850,0,
695780,AP-0700,AR-2000,0,KC-0900
695846,KC-2350,KC-2350,0,CM-0900
695880,KC-2350,MN-0300,0,MN-0300
695965,KC-2350,KC-2350,0,
695983,EL-0010,BB-2725,0,BB-2725
696086,KD-0450,DH-2950,0,CJ-2050
696184,CP-0500,CP-0500,0,NP-0130
696332,CA-1175,MT-1300,0,MB-1900
696447,TG-0900,TG-0900,0,
696573,PM-0200,PM-0200,0,
696596,MW-1250,,0,
696624,MW-1250,RC-1550,0,
696628,FT-0300,DW-1100,0,BR-1050
696696,PM-0200,JF-3150,0,
696822,JW-2550,JW-2550,0,BM-0330
696894,CP-0500,LK-0600,0,KS-0850
696915,PP-0400,TW-2250,0,
696924,CP-0500,TB-1850,0,CJ-1300
697031,CN-0500,MJ-0030,0,VM-0300
697035,MT-1300,MT-1300,0,SR-0250
697075,MT-1300,DT-1950,0,DS-4300
697122,TW-0600,DT-1950,0,MT-1300
697137,PM-0200,PM-0200,0,CJ-1300
697139,PM-0200,KE-0050,0,KE-0050
697163,CN-0500,TW-0600,5,VM-0300
