"","1"
"GID","3189"
"PID","518049"
"DETAIL","D.Bailey kicks 69 yards from DAL 35 to NYG -4. D.Wilson to NYG 16 for 20 yards (A.Holmes)."
"OFF","NYG"
"DEF","DAL"
"TYPE","KOFF"
"DSEQ","0"
"LEN","4"
"QTR","1"
"MIN","15"
"SEC","0"
"PTSO","0"
"PTSD","0"
"TIMO","3"
"TIMD","3"
"DWN",NA
"YTG",NA
"YFOG",NA
"ZONE",NA
"YDS",NA
"SUCC",""
"FD",""
"SG",""
"NH",""
"PTS",NA
"BC",""
"KNE",""
"DIR",""
"RTCK1",""
"RTCK2",""
"PSR",""
"COMP",""
"SPK",""
"LOC",""
"TRG",""
"DFB",""
"PTCK1",""
"PTCK2",""
"SK1",""
"SK2",""
"PTM1",""
"PEN1",""
"DESC1",""
"CAT1",NA
"PEY1",NA
"PDO1",""
"PTM2",""
"PEN2",""
"DESC2",""
"CAT2",NA
"PEY2",NA
"PDO2",""
"PTM3",NA
"PEN3",NA
"DESC3",NA
"CAT3",NA
"PEY3",NA
"PDO3",NA
"INT",""
"IRY",NA
"FUM",""
"FRCV",""
"FRY",NA
"FORC",""
"SAF",""
"BLK",""
"BRCV",""
"FGXP",""
"FKICKER",""
"DIST",NA
"GOOD",""
"PUNTER",""
"PGRO",NA
"PNET",NA
"PTB",""
"PR",""
"PRY",NA
"PFC",""
"KICKER","DB-0200"
"KGRO","69"
"KNET","49"
"KTB",""
"KR","DW-4050"
"KRY","20"
"LT",""
"LG",""
"C",""
"RG",""
"RT",""
